time,FTP,FTA,road_safety,Other,total
2018-01,6686,8376,2596,28608,46266
2018-02,6852,7577,2336,26165,42930
2018-03,7817,9882,4320,34049,56068
2018-04,10652,9115,3080,33419,56266
2018-05,8799,9959,3974,34440,57172
2018-06,8849,9832,2700,32671,54052
2018-07,9220,9575,3070,32631,54496
2018-08,7362,9318,2806,31264,50750
2018-09,7210,8696,2919,29923,48748
2018-10,9143,8931,2810,32310,53194
2018-11,6916,8077,2592,28225,45810
2018-12,7315,8301,2459,28409,46484
2019-01,9490,8978,3237,33021,54726
2019-02,7301,7096,2734,26829,43960
2019-03,7537,8751,2670,29516,48474
2019-04,8111,9771,2893,31501,52276
2019-05,7663,9863,3172,31706,52404
2019-06,7009,9239,3213,30345,49806
2019-07,9220,9575,3070,32631,54496
2019-08,8296,10580,3520,33472,55868
2019-09,7519,8170,2352,27301,45342
2019-10,7752,8931,2915,29772,49370
2019-11,8153,7394,2137,26808,44492
2019-12,8002,8570,2442,29296,48310
2020-01,8425,8118,2962,31299,50804
2020-02,7478,8001,2450,34693,52622
2020-03,3616,5611,2223,40334,51784
2020-04,2560,2938,1166,108028,114692
2020-05,3245,1671,1311,15481,21708
2020-06,2556,6529,2412,43209,54706
2020-07,3028,9219,2576,27057,41880
2020-08,3614,7942,2688,26384,40628
2020-09,3523,7663,2360,25764,39310
2020-10,3724,8565,2994,28603,43886
2020-11,3348,6348,2198,21934,33828
2020-12,3394,7785,2307,26078,39564
2021-01,3194,7315,2003,23582,36094
2021-02,3177,7795,2094,25396,38462
2021-03,3592,7974,2399,27285,41250
2021-04,3205,8966,2555,30244,44970
2021-05,3003,8416,2025,27328,40772
2021-06,3563,9202,2465,29968,45198
2021-07,3790,9026,2739,30681,46236
2021-08,3321,8439,2540,28938,43238
2021-09,3442,7901,2286,27169,40798
2021-10,3583,9280,2304,29241,44408
2021-11,3234,6168,2575,25233,37210
2021-12,3847,7045,2341,27675,40908
2022-01,5308,1711,2233,23036,32288
2022-02,3214,109,1928,18161,23412
2022-03,3386,84,2283,22913,28666
2022-04,15158,57,2241,33292,50748
2022-05,5499,77,2068,22616,30260
2022-06,5739,74,2249,23390,31452
2022-07,4931,58,2353,19296,26638
2022-08,6846,40,2544,23746,33176
2022-09,5391,28,2216,21083,28718
2022-10,5261,32,2104,23767,31164
2022-11,6451,49,1992,20540,29032
2022-12,5776,32,2076,20966,28850
total,355296,394825,152277,1768722,2671120
